ID,col,row,x,y,noise,topography,forest_noise,forest,biome
map001-0-0-0,0,0,0.0,0.0,0.5,hill,0.5,False,Hill
map001-1-1-0,1,0,1.1547005383792515,0.0,0.42842433,water,0.44712198,False,Water
map001-2-2-0,2,0,2.309401076758503,0.0,0.34978846,water,0.43774363,False,Water
map001-3-3-0,3,0,3.464101615137755,0.0,0.30321133,water,0.464147,False,Water
map001-4-4-0,4,0,4.618802153517006,0.0,0.30341962,water,0.49333954,False,Water
map001-5-5-0,5,0,5.773502691896257,0.0,0.32740837,water,0.500713,False,Water
map001-6-6-0,6,0,6.92820323027551,0.0,0.36981082,water,0.5008386,False,Water
map001-7-7-0,7,0,8.082903768654761,0.0,0.43769318,water,0.5228272,False,Water
map001-8-8-0,8,0,9.237604307034012,0.0,0.49056137,plains,0.5545421,False,Plains
map001-9-9-0,9,0,10.392304845413262,0.0,0.5047888,hill,0.5622677,False,Hill
map001-10-10-0,10,0,11.547005383792515,0.0,0.5003855,hill,0.5243586,False,Hill
map001-11-11-0,11,0,12.701705922171767,0.0,0.49883726,plains,0.45992485,False,Plains
map001-12-12-0,12,0,13.85640646055102,0.0,0.49550226,plains,0.3953557,True,Wood
map001-13-13-0,13,0,15.011106998930268,0.0,0.51766187,hill,0.36785835,True,Forest
map001-14-14-0,14,0,16.165807537309522,0.0,0.5772258,hill,0.39919817,True,Forest
map001-15-15-0,15,0,17.32050807568877,0.0,0.64224935,hill,0.46334246,False,Hill
map001-16-16-0,16,0,18.475208614068023,0.0,0.6785315,mountain,0.52526385,False,Mountain
map001-17-17-0,17,0,19.629909152447276,0.0,0.69970715,mountain,0.59052384,False,Mountain
map001-18-18-0,18,0,20.784609690826525,0.0,0.6909285,mountain,0.63073224,False,Mountain
map001-19-19-0,19,0,21.939310229205777,0.0,0.63465255,hill,0.61339796,False,Hill
map001-20-20-0,20,0,23.09401076758503,0.0,0.55456966,hill,0.5522086,False,Hill
map001-21-21-0,21,0,24.24871130596428,0.0,0.48626658,plains,0.48626658,False,Plains
map001-22-22-0,22,0,25.403411844343534,0.0,0.43317604,water,0.43317604,False,Water
map001-23-23-0,23,0,26.558112382722783,0.0,0.40542582,water,0.40542582,False,Water
map001-24-0-1,0,1,0.5773502691896257,1.0,0.5154277,hill,0.5183172,False,Hill
map001-25-1-1,1,1,1.7320508075688774,1.0,0.43123636,water,0.4785451,False,Water
map001-26-2-1,2,1,2.8867513459481287,1.0,0.3469967,water,0.46998486,False,Water
map001-27-3-1,3,1,4.041451884327381,1.0,0.30260608,water,0.47619092,False,Water
map001-28-4-1,4,1,5.196152422706631,1.0,0.30075,water,0.475787,False,Water
map001-29-5-1,5,1,6.3508529610858835,1.0,0.32047814,water,0.4636405,False,Water
map001-30-6-1,6,1,7.505553499465134,1.0,0.36872393,water,0.46950114,False,Water
map001-31-7-1,7,1,8.660254037844386,1.0,0.4253972,water,0.5088223,False,Water
map001-32-8-1,8,1,9.814954576223638,1.0,0.45344076,plains,0.54904085,False,Plains
map001-33-9-1,9,1,10.969655114602888,1.0,0.4530905,plains,0.54743695,False,Plains
map001-34-10-1,10,1,12.12435565298214,1.0,0.45229572,plains,0.49585664,False,Plains
map001-35-11-1,11,1,13.279056191361391,1.0,0.45414603,plains,0.4305787,False,Plains
map001-36-12-1,12,1,14.433756729740644,1.0,0.4733448,plains,0.3804121,True,Wood
map001-37-13-1,13,1,15.588457268119894,1.0,0.5307537,hill,0.38394883,True,Forest
map001-38-14-1,14,1,16.743157806499145,1.0,0.6073114,hill,0.44144148,False,Hill
map001-39-15-1,15,1,17.897858344878397,1.0,0.65887636,mountain,0.51477015,False,Mountain
map001-40-16-1,16,1,19.05255888325765,1.0,0.6833617,mountain,0.5884623,False,Mountain
map001-41-17-1,17,1,20.207259421636902,1.0,0.6906861,mountain,0.6559985,False,Mountain
map001-42-18-1,18,1,21.36195996001615,1.0,0.6575694,mountain,0.67562217,False,Mountain
map001-43-19-1,19,1,22.516660498395407,1.0,0.5866298,hill,0.6354308,False,Hill
map001-44-20-1,20,1,23.671361036774655,1.0,0.51356757,hill,0.56936514,False,Hill
map001-45-21-1,21,1,24.826061575153904,1.0,0.4536166,plains,0.5069091,False,Plains
map001-46-22-1,22,1,25.98076211353316,1.0,0.40878606,water,0.45731965,False,Water
map001-47-23-1,23,1,27.13546265191241,1.0,0.37977457,water,0.42246494,False,Water
map001-48-0-2,0,2,0.0,2.0,0.5643004,hill,0.5643004,False,Hill
map001-49-1-2,1,2,1.1547005383792515,2.0,0.50492114,hill,0.52102894,False,Hill
map001-50-2-2,2,2,2.309401076758503,2.0,0.42090136,water,0.49422127,False,Water
map001-51-3-2,3,2,3.464101615137755,2.0,0.34832945,water,0.47636175,False,Water
map001-52-4-2,4,2,4.618802153517006,2.0,0.3154671,water,0.45690176,False,Water
map001-53-5-2,5,2,5.773502691896257,2.0,0.31607407,water,0.43360093,False,Water
map001-54-6-2,6,2,6.92820323027551,2.0,0.3399208,water,0.41552895,False,Water
map001-55-7-2,7,2,8.082903768654761,2.0,0.38350472,water,0.43724102,False,Water
map001-56-8-2,8,2,9.237604307034012,2.0,0.41662356,water,0.493053,False,Water
map001-57-9-2,9,2,10.392304845413262,2.0,0.42615715,water,0.5355115,False,Water
map001-58-10-2,10,2,11.547005383792515,2.0,0.4308795,water,0.5224203,False,Water
map001-59-11-2,11,2,12.701705922171767,2.0,0.44394,water,0.47133988,False,Water
map001-60-12-2,12,2,13.85640646055102,2.0,0.4641865,plains,0.4118689,False,Plains
map001-61-13-2,13,2,15.011106998930268,2.0,0.5072068,hill,0.37698847,True,Forest
map001-62-14-2,14,2,16.165807537309522,2.0,0.56951517,hill,0.3982996,True,Forest
map001-63-15-2,15,2,17.32050807568877,2.0,0.6219826,hill,0.4666851,False,Hill
map001-64-16-2,16,2,18.475208614068023,2.0,0.64333105,hill,0.54896945,False,Hill
map001-65-17-2,17,2,19.629909152447276,2.0,0.64707834,hill,0.6354623,False,Hill
map001-66-18-2,18,2,20.784609690826525,2.0,0.62757957,hill,0.6935424,False,Hill
map001-67-19-2,19,2,21.939310229205777,2.0,0.5786398,hill,0.68862605,False,Hill
map001-68-20-2,20,2,23.09401076758503,2.0,0.5177548,hill,0.63396204,False,Hill
map001-69-21-2,21,2,24.24871130596428,2.0,0.46648884,plains,0.57070214,False,Plains
map001-70-22-2,22,2,25.403411844343534,2.0,0.42554572,water,0.5113944,False,Water
map001-71-23-2,23,2,26.558112382722783,2.0,0.3982441,water,0.46321324,False,Water
map001-72-0-3,0,3,0.5773502691896257,3.0,0.5345388,hill,0.53681415,False,Hill
map001-73-1-3,1,3,1.7320508075688774,3.0,0.48482883,plains,0.5200679,False,Plains
map001-74-2-3,2,3,2.8867513459481287,3.0,0.4181152,water,0.5024003,False,Water
map001-75-3-3,3,3,4.041451884327381,3.0,0.3668789,water,0.4712057,False,Water
map001-76-4-3,4,3,5.196152422706631,3.0,0.34775096,water,0.4324582,False,Water
map001-77-5-3,5,3,6.3508529610858835,3.0,0.35504997,water,0.3979419,False,Water
map001-78-6-3,6,3,7.505553499465134,3.0,0.37946922,water,0.3822615,False,Water
map001-79-7-3,7,3,8.660254037844386,3.0,0.4030829,water,0.41172796,False,Water
map001-80-8-3,8,3,9.814954576223638,3.0,0.4151643,water,0.46747053,False,Water
map001-81-9-3,9,3,10.969655114602888,3.0,0.42722547,water,0.49896938,False,Water
map001-82-10-3,10,3,12.12435565298214,3.0,0.45462903,plains,0.4792769,False,Plains
map001-83-11-3,11,3,13.279056191361391,3.0,0.48875874,plains,0.4373678,False,Plains
map001-84-12-3,12,3,14.433756729740644,3.0,0.5273776,hill,0.38428092,True,Forest
map001-85-13-3,13,3,15.588457268119894,3.0,0.56470233,hill,0.3596265,True,Forest
map001-86-14-3,14,3,16.743157806499145,3.0,0.5916146,hill,0.39289534,True,Forest
map001-87-15-3,15,3,17.897858344878397,3.0,0.60076165,hill,0.47448894,False,Hill
map001-88-16-3,16,3,19.05255888325765,3.0,0.58960676,hill,0.57172066,False,Hill
map001-89-17-3,17,3,20.207259421636902,3.0,0.5614306,hill,0.6622163,False,Hill
map001-90-18-3,18,3,21.36195996001615,3.0,0.5242823,hill,0.70119345,False,Hill
