ID,col,row,x,y,noise,topography,forest_noise,forest,biome
map001-0-0-0,0,0,0.0,0.0,0.5,hill,0.5,False,Hill
map001-1-1-0,1,0,1.1547005383792515,0.0,0.36703232,water,0.543892,False,Water
map001-2-2-0,2,0,2.309401076758503,0.0,0.3559868,water,0.5306688,False,Water
map001-3-3-0,3,0,3.464101615137755,0.0,0.42960113,water,0.5658909,False,Water
map001-4-4-0,4,0,4.618802153517006,0.0,0.43418488,water,0.5618868,False,Water
map001-5-5-0,5,0,5.773502691896257,0.0,0.47790536,plains,0.5023023,False,Plains
map001-6-6-0,6,0,6.92820323027551,0.0,0.55601454,hill,0.5298293,False,Hill
map001-7-7-0,7,0,8.082903768654761,0.0,0.62028795,hill,0.49867138,True,Forest
map001-8-8-0,8,0,9.237604307034012,0.0,0.49280176,plains,0.44830978,True,Wood
map001-9-9-0,9,0,10.392304845413262,0.0,0.41186517,water,0.5437112,False,Water
map001-10-10-0,10,0,11.547005383792515,0.0,0.48388946,plains,0.6397263,False,Plains
map001-11-11-0,11,0,12.701705922171767,0.0,0.5455491,hill,0.5364743,False,Hill
map001-12-12-0,12,0,13.85640646055102,0.0,0.54654956,hill,0.56265515,False,Hill
map001-13-13-0,13,0,15.011106998930268,0.0,0.6096329,hill,0.4877232,True,Forest
map001-14-14-0,14,0,16.165807537309522,0.0,0.65565974,mountain,0.5879664,False,Mountain
map001-15-15-0,15,0,17.32050807568877,0.0,0.5342177,hill,0.49403647,True,Forest
map001-16-16-0,16,0,18.475208614068023,0.0,0.4913016,plains,0.5352584,False,Plains
map001-17-17-0,17,0,19.629909152447276,0.0,0.4135929,water,0.51199716,False,Water
map001-18-18-0,18,0,20.784609690826525,0.0,0.39189604,water,0.5286005,False,Water
map001-19-19-0,19,0,21.939310229205777,0.0,0.39191002,water,0.4542023,False,Water
map001-20-20-0,20,0,23.09401076758503,0.0,0.5010365,hill,0.46493965,True,Forest
map001-21-21-0,21,0,24.24871130596428,0.0,0.47867957,plains,0.49050647,True,Wood
map001-22-22-0,22,0,25.403411844343534,0.0,0.5387167,hill,0.42822078,True,Forest
map001-23-23-0,23,0,26.558112382722783,0.0,0.5259022,hill,0.43827194,True,Forest
